datetimes,neighborhoods,titles,addresses,property_types,bedrooms,bathrooms,sqfts,prices,links
2020-08-21 13:16:00,Phoenix,TOUR TODAY!! GORGEOUS Newly Renovated 3 Bedroom Apartment Homes!!,5010 E. Cheyenne Dr.,apartment,3.0,2.0,1300.0,1707,https://phoenix.craigslist.org/evl/apa/d/phoenix-tour-today-gorgeous-newly/7181756179.html
2020-08-21 13:15:00,Mesa,Check out these views! You'll love this location and this 1 bd 1 ba!,57 North Alma School Rd near W. Main St,apartment,1.0,1.0,780.0,975,https://phoenix.craigslist.org/evl/apa/d/mesa-check-out-these-views-youll-love/7181755614.html
2020-08-21 13:15:00,Scottsdale,Fully furnished Scottsdale condo,Via Linda near 96 St,condo,3.0,2.0,1500.0,1850,https://phoenix.craigslist.org/evl/apa/d/scottsdale-fully-furnished-scottsdale/7180153750.html
2020-08-21 13:13:00,Scottsdale,"Washer Dryer in Units, Visit Your New Home, Available Now!!!",9393 East Palo Brea Bend,apartment,2.0,2.0,1194.0,1716,https://phoenix.craigslist.org/evl/apa/d/scottsdale-washer-dryer-in-units-visit/7181754532.html
2020-08-21 13:12:00,Glendale,Wowzers!!!!! Great Deal,19955 North 51st Ave near 51st Ave and 101 Freeway,house,2.0,2.5,1386.0,1569,https://phoenix.craigslist.org/nph/apa/d/glendale-wowzers-great-deal/7181753871.html
2020-08-21 13:11:00,East Valley - Ahwatukee/Chandler/Tempe,Tired of searching in crisis mode? We are here to help! Call NOW!,1930 S. Alma School Rd #B101,apartment,3.0,2.0,,1600,https://phoenix.craigslist.org/evl/apa/d/tired-of-searching-in-crisis-mode-we/7181753245.html
2020-08-21 13:11:00,Casa Grande,"Fully Equipped Kitchenette, Free Premium Cable TV, Close to Shopping",540 N Cacheris Ct,apartment,0.0,1.0,300.0,229,https://phoenix.craigslist.org/cph/apa/d/casa-grande-fully-equipped-kitchenette/7181684475.html
2020-08-21 13:09:00,Glendale,"Convenient City Location! Close to transportation, shopping and dining",4441 W. Bethany Home Rd 214,apartment,0.0,1.0,440.0,825,https://phoenix.craigslist.org/nph/apa/d/glendale-convenient-city-location-close/7181751697.html
2020-08-21 13:09:00,Phoenix,"BBQ and Picnic Area, Stylish Features, Come Look and Lease",4424 East Baseline Road,apartment,1.0,1.0,660.0,1066,https://phoenix.craigslist.org/cph/apa/d/phoenix-bbq-and-picnic-area-stylish/7181751633.html
2020-08-21 13:07:00,Anthem,Breathtaking views and incredible amenities! 2 bed 2 bath 1185 sqft,3825 w anthem way,apartment,2.0,2.0,1185.0,1330,https://phoenix.craigslist.org/nph/apa/d/phoenix-breathtaking-views-and/7181749876.html
2020-08-21 13:06:00,5902 W. Royal Palm Rd Glendale Az 85302,TWO BEDROOM W/D IN THE UNIT!!!,5902 W. Royal Palm near 59th ave and Northern,apartment,2.0,1.0,860.0,1025,https://phoenix.craigslist.org/wvl/apa/d/glendale-two-bedroom-d-in-the-unit/7179895796.html
2020-08-21 13:06:00,67Th And Bell,"Hardwood Style Flooring, Oversized Closets, Covered Parking",17500 N. 67th Ave near Bell Rd.,apartment,1.0,1.0,832.0,1240,https://phoenix.craigslist.org/nph/apa/d/glendale-hardwood-style-flooring/7181749537.html
2020-08-21 13:05:00,Phoenix,Studio Coming Soon! Only 1 left!,4620 West McDowell Road,apartment,0.0,1.0,400.0,815,https://phoenix.craigslist.org/wvl/apa/d/phoenix-studio-coming-soon-only-1-left/7181748469.html
2020-08-21 13:05:00,Phoenix,Set Up Your Self Tour Today @ Paradise Foothills!!,12231 N. 19th Street near Thunderbird & 19th Street,apartment,1.0,1.0,662.0,939,https://phoenix.craigslist.org/nph/apa/d/phoenix-set-up-your-self-tour-today/7181748379.html
2020-08-21 13:05:00,Near Major Public Transit And Buslines! Great For Commuters!,Near major public transit and buslines! Great for commuters!,18350 North 32nd Street near 32nd Street & Union Hills,house,1.0,2.0,969.0,1380,https://phoenix.craigslist.org/nph/apa/d/phoenix-near-major-public-transit-and/7181748097.html
2020-08-21 13:04:00,Phoenix,BEST PRICES ON BELL ROAD!!!!!!!!!,1106 W Bell Road near 11th Ave & Bell Rd,apartment,1.0,1.0,520.0,850,https://phoenix.craigslist.org/nph/apa/d/phoenix-best-prices-on-bell-road/7181699545.html
2020-08-21 13:04:00,"1334 N 36Th Dr, Phoenix, Az","HOUSE FOR RENT 3br, 2baths",1334 N 36th Dr,house,3.0,2.0,1321.0,1000,https://phoenix.craigslist.org/cph/apa/d/phoenix-house-for-rent-3br-2baths/7181735784.html
2020-08-21 13:03:00,Chandler,"Direct Access Garage, Beautiful Pool & Gorgeous Units! Apply Today!",1450 South Cooper Road near Pecos Road,apartment,2.0,2.0,1119.0,1678,https://phoenix.craigslist.org/evl/apa/d/chandler-direct-access-garage-beautiful/7181747099.html
2020-08-21 13:03:00,North Phoenix,"Elevated Living~ shopping in walking distance, hike, bike, jog!",34807 North 32nd Drive near I-17 and Carefree HWY,apartment,1.0,1.0,715.0,1180,https://phoenix.craigslist.org/nph/apa/d/phoenix-elevated-living-shopping-in/7181747025.html
2020-08-21 13:02:00,Desert Peak,"Corn Hole & Bocce Ball, Upgraded Moen Kitchen and Bath Faucets",23555 N DESERT PEAK PKWY near Pinnacle Peak & Cave Creek,apartment,1.0,1.0,762.0,1430,https://phoenix.craigslist.org/nph/apa/d/phoenix-corn-hole-bocce-ball-upgraded/7181746505.html
2020-08-21 13:01:00,Mesa,The living is easy at The Meadows! Comfortable 2 bed/2 bath!,2151 E. Southern,apartment,2.0,2.0,875.0,1175,https://phoenix.craigslist.org/evl/apa/d/mesa-the-living-is-easy-at-the-meadows/7181745657.html
2020-08-21 13:01:00,Phoenix,"**Visit us today, you will love it here at University Commons!!**",3450 W. MISSOURI AVE,apartment,1.0,1.0,560.0,750,https://phoenix.craigslist.org/nph/apa/d/phoenix-visit-us-today-you-will-love-it/7171466209.html
2020-08-21 13:01:00,Tolleson,"No long term lease required, Easy freeway access, Bad Credit Ok",1204 N 91st Ave,apartment,0.0,1.0,,289,https://phoenix.craigslist.org/wvl/apa/d/phoenix-no-long-term-lease-required/7177967719.html
2020-08-21 13:01:00,Phoenix,"Look and Lease Today for a Great Deal, Minutes to Shopping and I 10",7725 W. McDowell Road,apartment,1.0,1.0,525.0,990,https://phoenix.craigslist.org/wvl/apa/d/phoenix-look-and-lease-today-for-great/7181717315.html
2020-08-21 13:01:00,Mesa,**BEAUTIFUL COMMUNITY** LOCATED IN DOWNTOWN HISTORIC MESA**,123 NORTH ROBSON #115,apartment,2.0,1.0,820.0,1109,https://phoenix.craigslist.org/evl/apa/d/mesa-beautiful-community-located-in/7165243177.html
2020-08-21 13:00:00,"12721 West Buckeye Road Avondale, Az",Newly remodeled and ready for move in mid October,12721 West Buckeye Road near Dysart & Buckeye Rd,apartment,3.0,2.0,1034.0,1435,https://phoenix.craigslist.org/wvl/apa/d/cashion-newly-remodeled-and-ready-for/7181657871.html
2020-08-21 13:00:00,Phoenix,Location! Location! Location!,2220 E Beardsley Rd,apartment,2.0,2.0,882.0,1345,https://phoenix.craigslist.org/nph/apa/d/phoenix-location-location-location/7181734348.html
2020-08-21 12:59:00,Avondale,Pre-lease 2x2 available 9/7/2020!!,12115 West Van Buren Street near Van Buren & Avondale,apartment,2.0,2.0,1058.0,1350,https://phoenix.craigslist.org/wvl/apa/d/cashion-pre-lease-2x2-available/7181715568.html
2020-08-21 12:59:00,Phoenix,CLASSIC AVALON AVAILABLE!!!,4410 N 99th Ave,apartment,1.0,1.0,950.0,1120,https://phoenix.craigslist.org/wvl/apa/d/phoenix-classic-avalon-available/7181707005.html
2020-08-21 12:58:00,"6405 E Indian School Rd Scottsdale, Az",Up to 1 month free!,6405 E Indian School Rd,apartment,0.0,1.0,360.0,1025,https://phoenix.craigslist.org/evl/apa/d/scottsdale-up-to-1-month-free/7181655319.html
2020-08-21 12:58:00,Tempe,"Visit Your New Home, Hardwood Floors, Pantry",242 South Beck Avenue,apartment,1.0,1.0,615.0,1280,https://phoenix.craigslist.org/evl/apa/d/tempe-visit-your-new-home-hardwood/7181743411.html
2020-08-21 12:57:00,Peoria,One bedroom renovated apartment! Great location! 1st Floor,8092 W. Paradise lane,apartment,1.0,1.0,761.0,1385,https://phoenix.craigslist.org/wvl/apa/d/peoria-one-bedroom-renovated-apartment/7181728169.html
2020-08-21 12:57:00,Phoenix,"2x2-Second Floor, Balcony,Microwave,W/D Hookups, Lovely",15449 n. 25th avenue,apartment,2.0,2.0,911.0,1150,https://phoenix.craigslist.org/nph/apa/d/phoenix-2x2-second-floor/7181742489.html
2020-08-21 12:56:00,Phoenix,Waived Admin & App fee if you move in prior to 8/31! Renovated Apts!,3935 E. Greenway Rd.,apartment,1.0,1.0,557.0,1205,https://phoenix.craigslist.org/nph/apa/d/phoenix-waived-admin-app-fee-if-you/7181742126.html
2020-08-21 12:55:00,Mesa/ Eastmark Community,Brand New single house 4 Beds + Den/ 3 Bath in Mesa Eastmark community,9812 E Radioactive Dr,house,5.0,3.0,2120.0,2200,https://phoenix.craigslist.org/evl/apa/d/mesa-brand-new-single-house-4-beds-den/7174098867.html
2020-08-21 12:54:00,Goodyear,Aldea at Estrella Falls 1x1,2400 N. Bullard Avenue near Encanto and Bullard,apartment,1.0,1.0,794.0,1210,https://phoenix.craigslist.org/wvl/apa/d/goodyear-aldea-at-estrella-falls-1x1/7181740533.html
2020-08-21 12:54:00,Glendale,Stop by today and take a look!!,14221 N. 51St Ave near Thunderbird,apartment,1.0,1.0,733.0,985,https://phoenix.craigslist.org/nph/apa/d/glendale-stop-by-today-and-take-look/7181740315.html
2020-08-21 12:51:00,North Mountain Park,2 BR / 2 BA great for pets! Pet-Friendly Community in Phoenix,10002 N 7th St,apartment,2.0,2.0,888.0,1210,https://phoenix.craigslist.org/nph/apa/d/phoenix-2-br-2-ba-great-for-pets-pet/7181738026.html
2020-08-21 12:51:00,Phoenix,"$99 SPECIAL/Right Around the Corner, Near Everywhere You Want to Be.",3024 N 39th St near Thomas,apartment,1.0,1.0,750.0,1195,https://phoenix.craigslist.org/evl/apa/d/phoenix-99-special-right-around-the/7181737976.html
2020-08-21 12:50:00,"1901 W German Road Chandler, Az",2 bedroom available waiting for you to call it home,1901 W German Road,apartment,2.0,2.0,1077.0,1638,https://phoenix.craigslist.org/evl/apa/d/chandler-2-bedroom-available-waiting/7181737849.html
